,Date,Module,Hand,Time,Stroke,Key,Speed
136,2020-12-02,deck-the-halls_solo,right,1606951076.3887007,144,62,51
137,2020-12-02,deck-the-halls_solo,right,1606951076.3987007,128,64,64
138,2020-12-02,deck-the-halls_solo,right,1606951078.0887008,128,62,64
139,2020-12-02,deck-the-halls_solo,right,1606951078.6787007,177,64,0
140,2020-12-02,deck-the-halls_solo,right,1606951081.0507007,144,69,68
141,2020-12-02,deck-the-halls_solo,right,1606951081.7957006,144,67,56
142,2020-12-02,deck-the-halls_solo,right,1606951081.8367004,128,69,64
143,2020-12-02,deck-the-halls_solo,right,1606951082.0397005,144,66,52
144,2020-12-02,deck-the-halls_solo,right,1606951082.0677006,128,67,64
145,2020-12-02,deck-the-halls_solo,right,1606951082.5727007,144,64,47
146,2020-12-02,deck-the-halls_solo,right,1606951082.6467006,128,66,64
147,2020-12-02,deck-the-halls_solo,right,1606951083.0997007,128,64,64
148,2020-12-02,deck-the-halls_solo,right,1606951083.1237006,144,62,49
149,2020-12-02,deck-the-halls_solo,right,1606951083.6457007,144,64,49
150,2020-12-02,deck-the-halls_solo,right,1606951083.6907008,128,62,64
151,2020-12-02,deck-the-halls_solo,right,1606951084.1967008,144,66,46
152,2020-12-02,deck-the-halls_solo,right,1606951084.2337008,128,64,64
153,2020-12-02,deck-the-halls_solo,right,1606951085.3677008,144,62,45
154,2020-12-02,deck-the-halls_solo,right,1606951085.3807008,128,66,64
155,2020-12-02,deck-the-halls_solo,right,1606951086.020701,144,64,56
156,2020-12-02,deck-the-halls_solo,right,1606951086.052701,128,62,64
157,2020-12-02,deck-the-halls_solo,right,1606951086.284701,144,66,41
158,2020-12-02,deck-the-halls_solo,right,1606951086.291701,128,64,64
159,2020-12-02,deck-the-halls_solo,right,1606951086.561701,144,67,47
160,2020-12-02,deck-the-halls_solo,right,1606951086.561701,128,66,64
161,2020-12-02,deck-the-halls_solo,right,1606951086.835701,128,67,64
162,2020-12-02,deck-the-halls_solo,right,1606951086.863701,144,64,46
163,2020-12-02,deck-the-halls_solo,right,1606951087.157701,144,66,45
164,2020-12-02,deck-the-halls_solo,right,1606951087.171701,128,64,64
