,Date,Module,Hand,Time,Stroke,Key,Speed
157,2020-11-30,deck-the-halls_withemily,right,1606781466.0128105,128,64,64
158,2020-11-30,deck-the-halls_withemily,right,1606781467.0318105,128,62,64
159,2020-11-30,deck-the-halls_withemily,right,1606781467.7128105,177,64,0
160,2020-11-30,deck-the-halls_withemily,right,1606781504.6598105,144,69,92
161,2020-11-30,deck-the-halls_withemily,right,1606781505.1358106,128,69,64
162,2020-11-30,deck-the-halls_withemily,right,1606781505.3788106,144,67,73
163,2020-11-30,deck-the-halls_withemily,right,1606781505.5688107,128,67,64
164,2020-11-30,deck-the-halls_withemily,right,1606781505.5898106,144,66,60
165,2020-11-30,deck-the-halls_withemily,right,1606781506.1048107,144,64,68
166,2020-11-30,deck-the-halls_withemily,right,1606781506.1558108,128,66,64
167,2020-11-30,deck-the-halls_withemily,right,1606781506.6298108,144,62,77
168,2020-11-30,deck-the-halls_withemily,right,1606781506.644811,128,64,64
169,2020-11-30,deck-the-halls_withemily,right,1606781507.100811,144,64,64
170,2020-11-30,deck-the-halls_withemily,right,1606781507.133811,128,62,64
171,2020-11-30,deck-the-halls_withemily,right,1606781507.591811,144,66,60
172,2020-11-30,deck-the-halls_withemily,right,1606781507.662811,128,64,64
173,2020-11-30,deck-the-halls_withemily,right,1606781508.1418111,144,67,59
174,2020-11-30,deck-the-halls_withemily,right,1606781508.191811,128,66,64
175,2020-11-30,deck-the-halls_withemily,right,1606781508.944811,128,67,64
176,2020-11-30,deck-the-halls_withemily,right,1606781510.454811,144,64,48
177,2020-11-30,deck-the-halls_withemily,right,1606781510.672811,144,66,47
178,2020-11-30,deck-the-halls_withemily,right,1606781510.703811,128,64,64
179,2020-11-30,deck-the-halls_withemily,right,1606781510.883811,144,67,77
180,2020-11-30,deck-the-halls_withemily,right,1606781510.901811,128,66,64
181,2020-11-30,deck-the-halls_withemily,right,1606781511.6358109,144,64,78
182,2020-11-30,deck-the-halls_withemily,right,1606781511.6538107,128,67,64
183,2020-11-30,deck-the-halls_withemily,right,1606781511.8628109,144,66,56
184,2020-11-30,deck-the-halls_withemily,right,1606781511.887811,128,64,64
185,2020-11-30,deck-the-halls_withemily,right,1606781512.104811,144,67,74
186,2020-11-30,deck-the-halls_withemily,right,1606781512.134811,128,66,64
187,2020-11-30,deck-the-halls_withemily,right,1606781512.3498108,144,64,52
188,2020-11-30,deck-the-halls_withemily,right,1606781512.3808107,128,67,64
189,2020-11-30,deck-the-halls_withemily,right,1606781513.3858109,144,66,51
190,2020-11-30,deck-the-halls_withemily,right,1606781513.420811,128,64,64
191,2020-11-30,deck-the-halls_withemily,right,1606781513.925811,144,64,61
192,2020-11-30,deck-the-halls_withemily,right,1606781513.958811,128,66,64
193,2020-11-30,deck-the-halls_withemily,right,1606781514.139811,128,64,64
194,2020-11-30,deck-the-halls_withemily,right,1606781514.170811,144,62,52
195,2020-11-30,deck-the-halls_withemily,right,1606781514.397811,144,61,47
196,2020-11-30,deck-the-halls_withemily,right,1606781514.518811,128,62,64
197,2020-11-30,deck-the-halls_withemily,right,1606781515.404811,128,61,64
198,2020-11-30,deck-the-halls_withemily,right,1606781517.0008109,144,69,86
199,2020-11-30,deck-the-halls_withemily,right,1606781518.1008108,144,67,64
200,2020-11-30,deck-the-halls_withemily,right,1606781518.1308107,128,69,64
201,2020-11-30,deck-the-halls_withemily,right,1606781518.450811,144,66,70
202,2020-11-30,deck-the-halls_withemily,right,1606781518.4948108,128,67,64
203,2020-11-30,deck-the-halls_withemily,right,1606781519.0438108,144,64,61
204,2020-11-30,deck-the-halls_withemily,right,1606781519.1058109,128,66,64
205,2020-11-30,deck-the-halls_withemily,right,1606781519.7198107,144,62,70
206,2020-11-30,deck-the-halls_withemily,right,1606781519.7198107,128,64,64
207,2020-11-30,deck-the-halls_withemily,right,1606781520.2268107,144,64,71
208,2020-11-30,deck-the-halls_withemily,right,1606781520.2768106,128,62,64
209,2020-11-30,deck-the-halls_withemily,right,1606781520.8178105,144,66,69
210,2020-11-30,deck-the-halls_withemily,right,1606781520.8528106,128,64,64
211,2020-11-30,deck-the-halls_withemily,right,1606781521.4508107,144,64,78
212,2020-11-30,deck-the-halls_withemily,right,1606781521.4978106,128,66,64
213,2020-11-30,deck-the-halls_withemily,right,1606781522.2158105,128,64,64
214,2020-11-30,deck-the-halls_withemily,right,1606781522.3518105,144,64,52
215,2020-11-30,deck-the-halls_withemily,right,1606781522.5238104,144,66,58
216,2020-11-30,deck-the-halls_withemily,right,1606781522.5528104,128,64,64
217,2020-11-30,deck-the-halls_withemily,right,1606781522.7988105,144,67,56
